SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
AXISCADES,AXISCADES Technologies Limited,EQ,21-Dec-2000,5,1,INE555B01013,5
AXITA,Axita Cotton Limited,EQ,21-Jun-2022,1,1,INE02EZ01022,1
AYMSYNTEX,AYM Syntex Limited,EQ,14-Aug-2015,10,1,INE193B01039,10
BAFNAPH,Bafna Pharmaceuticals Limited,BE,27-Feb-2020,10,1,INE878I01022,10
BAGFILMS,B.A.G Films and Media Limited,EQ,17-Oct-2003,2,1,INE116D01028,2
BAIDFIN,Baid Finserv Limited,EQ,20-Jan-2023,2,1,INE020D01022,2
BAJAJ-AUTO,Bajaj Auto Limited,EQ,26-May-2008,10,1,INE917I01010,10
BAJAJCON,Bajaj Consumer Care Limited,EQ,18-Aug-2010,1,1,INE933K01021,1
BAJAJELEC,Bajaj Electricals Limited,EQ,02-Nov-2007,2,1,INE193E01025,2
BAJAJFINSV,Bajaj Finserv Limited,EQ,26-May-2008,1,1,INE918I01026,1
BAJAJHCARE,Bajaj Healthcare Limited,EQ,25-Nov-2021,5,1,INE411U01027,5
BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,10-May-1995,1,1,INE306A01021,1
BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,15-Mar-1995,10,1,INE118A01012,10
BAJFINANCE,Bajaj Finance Limited,EQ,01-Apr-2003,2,1,INE296A01024,2
BALAJITELE,Balaji Telefilms Limited,EQ,22-Nov-2000,2,1,INE794B01026,2
BALAMINES,Balaji Amines Limited,EQ,05-Apr-2007,2,1,INE050E01027,2
BALAXI,BALAXI PHARMACEUTICALS LIMITED,EQ,30-Nov-2015,10,1,INE618N01014,10
BALKRISHNA,Balkrishna Paper Mills Limited,EQ,28-Jul-2015,10,1,INE875R01011,10
BALKRISIND,Balkrishna Industries Limited,EQ,27-Jan-2006,2,1,INE787D01026,2
BALLARPUR,Ballarpur Industries Limited,BZ,31-Mar-2008,2,1,INE294A01037,2
BALMLAWRIE,Balmer Lawrie & Company Limited,EQ,06-Jul-1995,10,1,INE164A01016,10
BALPHARMA,Bal Pharma Limited,EQ,08-May-2006,10,1,INE083D01012,10
BALRAMCHIN,Balrampur Chini Mills Limited,EQ,08-Feb-1995,1,1,INE119A01028,1
BANARBEADS,Banaras Beads Limited,EQ,07-Jul-1995,10,1,INE655B01011,10
BANARISUG,Bannari Amman Sugars Limited,EQ,28-May-2003,10,1,INE459A01010,10
BANCOINDIA,Banco Products (I) Limited,EQ,22-Dec-2006,2,1,INE213C01025,2
BANDHANBNK,Bandhan Bank Limited,EQ,27-Mar-2018,10,1,INE545U01014,10
BANG,Bang Overseas Limited,EQ,20-Feb-2008,10,1,INE863I01016,10
BANKA,Banka BioLoo Limited,EQ,29-Oct-2020,10,1,INE862Y01015,10
BANKBARODA,Bank of Baroda,EQ,19-Feb-1997,2,1,INE028A01039,2
BANKINDIA,Bank of India,EQ,30-Apr-1997,10,1,INE084A01016,10
BANSWRAS,Banswara Syntex Limited,EQ,11-Apr-2007,5,1,INE629D01020,5
BARBEQUE,Barbeque Nation Hospitality Limited,EQ,07-Apr-2021,5,1,INE382M01027,5
BASF,BASF India Limited,EQ,17-May-1995,10,1,INE373A01013,10
BASML,Bannari Amman Spinning Mills Limited,EQ,14-Nov-2005,5,1,INE186H01022,5
BATAINDIA,Bata India Limited,EQ,18-Jun-2003,5,1,INE176A01028,5
BAYERCROP,Bayer Cropscience Limited,EQ,08-Jan-2010,10,1,INE462A01022,10
BBL,Bharat Bijlee Limited,EQ,21-Nov-2006,10,1,INE464A01028,10
BBOX,Black Box Limited,EQ,22-Jul-2003,2,1,INE676A01027,2
BBTC,Bombay Burmah Trading Corporation Limited,EQ,03-Apr-1996,2,1,INE050A01025,2
BBTCL,B&B Triplewall Containers Limited,EQ,23-Nov-2022,10,1,INE01EE01011,10
BCG,Brightcom Group Limited,EQ,08-May-2015,2,1,INE425B01027,2
BCLIND,Bcl Industries Limited,EQ,04-Mar-2021,10,1,INE412G01016,10
BCONCEPTS,Brand Concepts Limited,EQ,11-Jan-2022,10,1,INE977Y01011,10
BDL,Bharat Dynamics Limited,EQ,23-Mar-2018,10,1,INE171Z01018,10
BEARDSELL,Beardsell Limited,EQ,13-Jan-2015,2,1,INE520H01022,2
BECTORFOOD,Mrs. Bectors Food Specialities Limited,EQ,24-Dec-2020,10,1,INE495P01012,10
BEDMUTHA,Bedmutha Industries Limited,EQ,14-Oct-2010,10,1,INE844K01012,10
BEL,Bharat Electronics Limited,EQ,19-Jul-2000,1,1,INE263A01024,1
BEML,BEML Limited,EQ,05-Nov-2003,10,1,INE258A01016,10
BEPL,Bhansali Engineering Polymers Limited,EQ,21-Mar-2005,1,1,INE922A01025,1
BERGEPAINT,Berger Paints (I) Limited,EQ,24-Nov-1999,1,1,INE463A01038,1
BESTAGRO,Best Agrolife Limited,EQ,22-Feb-2021,10,1,INE052T01013,10
BFINVEST,BF Investment Limited,EQ,14-Jan-2011,5,1,INE878K01010,5
BFUTILITIE,BF Utilities Limited,EQ,03-May-2007,5,1,INE243D01012,5
BGRENERGY,BGR Energy Systems Limited,EQ,03-Jan-2008,10,1,INE661I01014,10
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,EQ,18-Oct-2021,10,1,INE414D01019,10
BHAGERIA,Bhageria Industries Limited,EQ,02-Mar-2016,5,1,INE354C01027,5
BHAGYANGR,Bhagyanagar India Limited,EQ,17-May-2017,2,1,INE458B01036,2
BHANDARI,Bhandari Hosiery Exports Limited,EQ,30-Jan-2017,1,1,INE474E01029,1
BHARATFORG,Bharat Forge Limited,EQ,04-Apr-2003,2,1,INE465A01025,2
BHARATGEAR,Bharat Gears Limited,EQ,03-Apr-1996,10,1,INE561C01019,10
BHARATRAS,Bharat Rasayan Limited,EQ,11-Oct-1995,10,1,INE838B01013,10
BHARATWIRE,Bharat Wire Ropes Limited,EQ,01-Apr-2016,10,1,INE316L01019,10
BHARTIARTL,Bharti Airtel Limited,EQ,15-Feb-2002,5,1,INE397D01024,5
BHEL,Bharat Heavy Electricals Limited,EQ,11-Nov-2003,2,1,INE257A01026,2
BIGBLOC,Bigbloc Construction Limited,EQ,02-Sep-2016,2,1,INE412U01025,2
BIKAJI,Bikaji Foods International Limited,EQ,16-Nov-2022,1,1,INE00E101023,1
BIL,Bhartiya International Limited,EQ,12-Apr-2000,10,1,INE828A01016,10
BINANIIND,Binani Industries Limited,EQ,27-Sep-2006,10,1,INE071A01013,10
BIOCON,Biocon Limited,EQ,07-Apr-2004,5,1,INE376G01013,5
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,EQ,12-Jun-1996,10,1,INE829A01014,10
BIRLACABLE,Birla Cable Limited,EQ,06-Dec-1995,10,1,INE800A01015,10
BIRLACORPN,Birla Corporation Limited,EQ,12-Apr-1995,10,1,INE340A01012,10
BIRLAMONEY,Aditya Birla Money Limited,EQ,07-Feb-2008,1,1,INE865C01022,1
BIRLATYRE,Birla Tyres Limited,BE,10-Feb-2020,10,1,INE0AEJ01013,10
BLAL,BEML Land Assets Limited,EQ,19-Apr-2023,10,1,INE0N7W01012,10
BLBLIMITED,BLB Limited,EQ,31-May-2000,1,1,INE791A01024,1
BLISSGVS,Bliss GVS Pharma Limited,EQ,26-Jul-2010,1,1,INE416D01022,1
BLKASHYAP,B. L. Kashyap and Sons Limited,EQ,17-Mar-2006,1,1,INE350H01032,1
BLS,BLS International Services Limited,EQ,14-Jun-2016,1,1,INE153T01027,1
BLUECOAST,Blue Coast Hotels Limited,BE,16-Feb-2000,10,1,INE472B01011,10
BLUEDART,Blue Dart Express Limited,EQ,12-Dec-2002,10,1,INE233B01017,10
BLUESTARCO,Blue Star Limited,EQ,15-Jun-2000,2,1,INE472A01039,2
BODALCHEM,Bodal Chemicals Limited,EQ,22-Aug-2011,2,1,INE338D01028,2
BOHRAIND,Bohra Industries Limited,EQ,27-Oct-2022,10,1,INE802W01023,10
BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ,26-Apr-1995,2,1,INE032A01023,2
BOROLTD,Borosil Limited,EQ,22-Jul-2020,1,1,INE02PY01013,1
BORORENEW,BOROSIL RENEWABLES LIMITED,EQ,25-May-2018,1,1,INE666D01022,1
BOSCHLTD,Bosch Limited,EQ,12-May-2003,10,1,INE323A01026,10
BPCL,Bharat Petroleum Corporation Limited,EQ,13-Sep-1995,10,1,INE029A01011,10
BPL,BPL Limited,EQ,14-Jun-1995,10,1,INE110A01019,10
BRIGADE,Brigade Enterprises Limited,EQ,31-Dec-2007,10,1,INE791I01019,10
BRITANNIA,Britannia Industries Limited,EQ,05-Nov-1998,1,1,INE216A01030,1
BRNL,Bharat Road Network Limited,EQ,18-Sep-2017,10,1,INE727S01012,10
BROOKS,Brooks Laboratories Limited,EQ,05-Sep-2011,10,1,INE650L01011,10
BSE,BSE Limited,EQ,03-Feb-2017,2,1,INE118H01025,2
BSHSL,Bombay Super Hybrid Seeds Limited,BE,28-Oct-2020,1,1,INE032Z01020,1
BSL,BSL Limited,EQ,27-Jul-1995,10,1,INE594B01012,10
BSOFT,BIRLASOFT LIMITED,EQ,24-Nov-1999,2,1,INE836A01035,2
BTML,Bodhi Tree Multimedia Limited,EQ,15-Feb-2023,10,1,INE0EEJ01015,10
BURNPUR,Burnpur Cement Limited,EQ,03-Jan-2008,10,1,INE817H01014,10
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,EQ,28-Apr-2014,10,1,INE295F01017,10
BVCL,Barak Valley Cements Limited,EQ,23-Nov-2007,10,1,INE139I01011,10
BYKE,The Byke Hospitality Ltd,EQ,15-Apr-2015,10,1,INE319B01014,10
CALSOFT,California Software Company Limited,BE,28-Jun-2000,10,1,INE526B01014,10
CAMLINFINE,Camlin Fine Sciences Limited,EQ,20-Jan-2015,1,1,INE052I01032,1
CAMPUS,Campus Activewear Limited,EQ,09-May-2022,5,1,INE278Y01022,5
CAMS,Computer Age Management Services Limited,EQ,07-May-2021,10,1,INE596I01012,10
CANBK,Canara Bank,EQ,23-Dec-2002,10,1,INE476A01014,10
CANFINHOME,Can Fin Homes Limited,EQ,10-May-1995,2,1,INE477A01020,2
CANTABIL,Cantabil Retail India Limited,EQ,12-Oct-2010,10,1,INE068L01016,10
CAPACITE,Capacit'e Infraprojects Limited,EQ,25-Sep-2017,10,1,INE264T01014,10
CAPLIPOINT,Caplin Point Laboratories Limited,EQ,23-Jun-2014,2,1,INE475E01026,2
CAPTRUST,Capital Trust Limited,EQ,16-Jan-2017,10,1,INE707C01018,10
CARBORUNIV,Carborundum Universal Limited,EQ,03-Apr-1996,1,1,INE120A01034,1
CAREERP,Career Point Limited,EQ,06-Oct-2010,10,1,INE521J01018,10
CARERATING,CARE Ratings Limited,EQ,26-Dec-2012,10,1,INE752H01013,10
CARTRADE,Cartrade Tech Limited,EQ,20-Aug-2021,10,1,INE290S01011,10
CARYSIL,CARYSIL LIMITED,EQ,14-Jan-2021,2,1,INE482D01024,2
